site,event,date,white_id,black_id,result,white_elo,black_elo,white_rating_diff,black_rating_diff,varient,time_control,eco,termination,moves,black_title,white_title,win/lose,my_rating,oponent_rating,year,month,day,weekday,UTCdate_time,total_moves
https://lichess.org/Ul2FncpV,Rated Blitz game,2020-12-31 00:00:00,nalsa_greatest,Lovelishkumar,Black won,1672,1707,-5,5,Standard,180+2,A20,Time forfeit,1. c4 e5 2. g3 Bc5 3. Bg2 d6 4. e3 Be6 5. Bxb7 Nd7 6. Bxa8 Qxa8 7. Nf3 Bxc4 8. d3 Be6 9. O-O Bg4 10. Nbd2 d5 11. h3 Bxh3 12. Re1 Bg4 13. e4 dxe4 14. dxe4 Ndf6 15. Qa4+ Bd7 16. Qc4 Bb6 17. Nxe5 Be6 18. Qc6+ Qxc6 19. Nxc6 Ne7 20. Nxe7 Kxe7 21. b3 Rd8 22. Nc4 Bd4 23. Rb1 Ng4 24. Be3 Bc3 25. Red1 Nxe3 26. Rxd8 Nxc4 27. Rbd1 Nd6 28. Rh8 h6 29. Rg8 Ne8 30. Rc1 Be5 31. Rc5 Bd6 32. Ra5 f6 33. Rh8 Kf7 34. Rxa7 Ke7 35. a4 Bxb3 36. a5 Bc4 37. Ra8 Bb5 38. a6 Bc6 39. Rb8 Bc5 40. Rb1 Nd6 41. Ra1 Nb5 42. Rh7 Kf7 43. Rd1 Kg8 44. Rh8+ Kxh8 45. Rd8+ Kh7 46. Kg2 Bb6 47. f3 Kg6 48. Kh3 Kg5 49. Rf8 Kg6 50. Kg4 Nd6 51. Rb8 Nc4 52. f4 Nd6 53. f5+ Kf7 54. Rh8 Nxe4 55. Kh5 Nd6 56. Rh7 Nb5 57. g4 Nd6 58. Kh4 Ne4 59. Rh8 Nc5 60. Kh5 Nxa6 61. Kh4 Nc5 62. Kh5 Bf3 63. Kh4 Ne4 64. Rc8 Nf2 65. Rd8 Bxg4 66. Rd5 Bf3 67. Kg3 Bxd5 68. Kf4 c5 69. Ke3 c4+ 70. Kd2 Be4 71. Kc3 Bd5 72. Kb4 Be3 73. Kc3 Bc5 74. Kd2 Ne4+ 75. Kc2 Bd4 76. Kd1 c3 77. Kc1 Bb3 78. Kb1 Nd2+ 79. Kc1 Ne4 80. Kb1 c2+ 81. Kc1 Be3+ 82. Kb2 c1=Q+ 83. Kxb3 Nc5+ 84. Kb4 Qb1+ 0-1,no title,no title,win,1707,1672,2020,12,31,3,2020-12-31 14:31:24,84
https://lichess.org/Hq6Vv0y1,Rated Blitz game,2020-12-31 00:00:00,Lovelishkumar,laotsemeetsbuddha,Black won,1712,1728,-5,6,Standard,180+2,C50,Normal,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 Nf6 5. Nc3 h6 6. h3 O-O 7. Nd5 Nxd5 8. Bxd5 d6 9. c3 Be6 10. Bb3 a5 11. a4 f6 12. Nh4 f5 13. Bxe6+ Kh8 14. Nxf5 Ne7 15. Nh4 Bxf2+ 16. Kd2 Bxh4 17. Kc2 Ng6 18. Qg4 Qf6 19. Bf5 Ne7 20. Rf1 g6 21. Bxh6 gxf5 22. Bg7+ Qxg7 23. Qxh4+ Qh7 24. Qf2 Qg7 25. Qh4+ Qh7 26. Qf2 f4 27. g3 f3 28. h4 Rf7 29. g4 Rg8 30. g5 Ng6 31. Rh1 Ne7 32. Rag1 Qh5 33. Rg4 Qxg4 0-1,no title,no title,lose,1712,1728,2020,12,31,3,2020-12-31 14:24:55,33
https://lichess.org/STrcvhYy,Rated Blitz game,2020-12-31 00:00:00,Lovelishkumar,galser77,Black won,1718,1716,-6,6,Standard,180+2,B40,Time forfeit,1. e4 e6 2. Nf3 c5 3. c3 Nf6 4. d3 Nc6 5. Bg5 Be7 6. Be2 O-O 7. O-O h6 8. Bh4 d5 9. e5 Ng4 10. Bxe7 Qxe7 11. d4 cxd4 12. cxd4 h5 13. h3 Nh6 14. Nbd2 f6 15. Nh4 fxe5 16. Ng6 Qf6 17. Nxf8 Qxf8 18. Nb3 exd4 19. Bxh5 e5 20. Re1 Qf5 21. f4 Qxf4 22. Rf1 Qe3+ 23. Kh1 Qe4 24. Bf3 Qg6 25. Bxd5+ Be6 26. Qf3 Rd8 27. Bxc6 bxc6 28. Qxc6 d3 29. Nc5 Bf7 30. Qxg6 Bxg6 31. Rad1 e4 32. Rf4 e3 33. Rf3 e2 34. Ra1 d2 0-1,no title,no title,lose,1718,1716,2020,12,31,3,2020-12-31 14:16:13,34
https://lichess.org/mPEGycAP,Rated Blitz game,2020-12-31 00:00:00,Xavier_Chess,Lovelishkumar,White won,1678,1724,6,-6,Standard,180+2,C47,Normal,1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6 4. d4 Nxd4 5. Nxd4 exd4 6. Qxd4 d6 7. Bg5 Be7 8. Nd5 Nxd5 9. exd5 O-O 10. Bxe7 Qxe7+ 11. Qe3 Qf6 12. O-O-O Bg4 13. f3 Bf5 14. Bd3 Rfe8 15. Qf4 g5 1-0,no title,no title,lose,1724,1678,2020,12,31,3,2020-12-31 14:13:32,15
https://lichess.org/6LnSjo1Y,Rated Blitz game,2020-12-31 00:00:00,user97,Lovelishkumar,White won,1771,1729,5,-5,Standard,180+2,C43,Normal,1. e4 e5 2. Nf3 Nf6 3. d4 Nxe4 4. dxe5 d6 5. Bc4 Bg4 6. Qd5 Be6 7. Qxe4 d5 8. Bb5+ c6 9. Qd3 cxb5 10. Qxb5+ Nc6 11. Qxb7 Qc8 12. Qb5 Rb8 13. Qd3 Nb4 14. Qe2 Qc4 15. Qxc4 dxc4 16. Na3 Nc6 17. b3 Bg4 18. Nxc4 Bxf3 19. gxf3 Nd4 20. O-O Nxf3+ 21. Kg2 Nd4 22. c3 Nc2 23. Rb1 Rd8 24. Nd6+ Bxd6 25. exd6 Rxd6 26. Rb2 Rg6+ 27. Kf3 Rf6+ 28. Kg2 Rg6+ 29. Kh1 Ne3 30. fxe3 O-O 31. Rbf2 Re6 32. Rf4 f6 33. Rd1 Rc8 34. c4 Re7 35. Rfd4 Rcc7 36. e4 Kf7 37. Bf4 Rb7 38. Bd6 Red7 39. Bc5 Rdc7 40. Bd6 Rd7 41. Bg3 Re7 42. Rd6 Kg6 43. e5 Kf5 44. exf6 gxf6 45. c5 h5 46. c6 Rbc7 47. R6d5+ Ke4 48. Bxc7 Rxc7 49. Rd7 1-0,no title,no title,lose,1729,1771,2020,12,31,3,2020-12-31 14:03:43,49
https://lichess.org/Vgloxy8L,Rated Blitz game,2020-12-31 00:00:00,Lovelishkumar,manish716,Draw,1730,1687,-1,1,Standard,180+2,B00,Normal,1. e4 Nc6 2. Nf3 f5 3. exf5 d5 4. g4 Nf6 5. Bh3 e6 6. fxe6 Bxe6 7. Qe2 Ne4 8. d3 Nc5 9. g5 Bd6 10. Bxe6 Nxe6 11. Qxe6+ Be7 12. g6 hxg6 13. Bg5 Qd6 14. Qxd6 Bxd6 15. Nc3 Rh5 16. Nxd5 Rxg5 17. Nxg5 O-O-O 18. Nf7 Re8+ 19. Kd2 Nd4 20. Nxd6+ cxd6 21. Rhe1 Nf3+ 22. Kc3 Nxe1 23. Ne3 Nf3 24. h3 Kb8 25. Nc4 d5 26. Ne3 Rc8+ 27. Kb3 a5 28. a3 d4 29. Nd5 Nd2+ 30. Ka2 Rxc2 31. Ne7 g5 32. Rg1 Nf3 33. Rg3 Ne5 34. Nf5 Rxf2 35. Nxd4 Rd2 36. Rxg5 Nxd3 37. Rb5 Nc1+ 38. Kb1 Rd1 39. Kc2 Rh1 40. Nc6+ Kc7 41. Nxa5 Ne2 42. Rxb7+ Kc8 43. Rxg7 Rxh3 44. Kb1 Rh5 45. Rg8+ Kc7 46. Rg6 Kb8 47. Nc4 Ka7 48. Kc2 Nd4+ 49. Kc3 Nb5+ 50. Kb4 Nd4 51. a4 Rh4 52. Kc5 Nb3+ 53. Kb4 Nd4 54. Rg7+ Ka6 55. Rg6+ Ka7 1/2-1/2,no title,no title,draw,1730,1687,2020,12,31,3,2020-12-31 13:54:45,55
https://lichess.org/SygakjKq,Rated Blitz game,2020-12-31 00:00:00,Nurs0302,Lovelishkumar,White won,1776,1735,5,-5,Standard,180+2,C42,Normal,1. e4 e5 2. Bc4 Nf6 3. Nf3 d6 4. O-O Nxe4 5. d4 d5 6. dxe5 dxc4 7. Qxd8+ Kxd8 8. Re1 Nc5 9. Nc3 Be6 10. Ng5 h6 11. Nxe6+ Nxe6 12. f4 g6 13. Nd5 c6 14. Nf6 Nxf4 15. Bxf4 Nd7 16. Rad1 1-0,no title,no title,lose,1735,1776,2020,12,31,3,2020-12-31 13:51:45,16
https://lichess.org/pwA2WMtx,Rated Blitz game,2020-12-31 00:00:00,Lovelishkumar,soplador,Black won,1739,1879,-4,4,Standard,180+2,B30,Normal,1. e4 c5 2. Nf3 Nc6 3. c3 g6 4. d4 cxd4 5. cxd4 d5 6. e5 Bg7 7. Bb5 a6 8. Bxc6+ bxc6 9. Nbd2 h5 10. Nb3 Nh6 11. h3 Nf5 12. Bg5 Qb6 13. Rc1 f6 14. exf6 exf6 15. Qe2+ Kf7 16. Bf4 Re8 17. Qxe8+ Kxe8 18. O-O Kf7 19. Rfe1 Bd7 20. Bd6 Re8 21. Bc5 Qb7 22. g4 hxg4 23. hxg4 Nh6 24. Rxe8 Bxe8 25. Re1 Bf8 26. g5 fxg5 27. Nxg5+ Kf6 28. Bxf8 Kxg5 29. Bxh6+ Kxh6 30. Rxe8 Qf7 31. Re3 Qf5 32. Nd2 Qc2 33. Nf3 Qxb2 34. Ne5 Qxa2 35. Nxc6 Qb1+ 36. Kg2 Qc1 37. Nb4 a5 38. Nxd5 a4 39. Nf4 a3 40. Ne6 g5 41. Nc5 a2 42. Nb3 Qb2 43. Re6+ Kg7 44. Re3 a1=Q 45. Nxa1 Qxa1 46. Kg3 Qxd4 47. Re7+ Kf6 48. Re3 Qh4+ 49. Kg2 Kf5 50. Rf3+ Ke4 51. Re3+ Kd4 52. Rg3 Qe4+ 53. f3 Qe2+ 54. Kh3 Ke3 55. Kg4 Qb5 56. f4+ Ke4 57. fxg5 Qf5+ 58. Kh4 Qh7+ 59. Kg4 Qg6 60. Kh4 Kf4 61. Rg4+ Kf3 62. Rg3+ Kf2 63. Rg4 Qh7# 0-1,no title,no title,lose,1739,1879,2020,12,31,3,2020-12-31 13:41:15,63
https://lichess.org/xAvCvZCO,Rated Blitz game,2020-12-31 00:00:00,Lovelishkumar,Ndeniztas,White won,1733,1730,6,-5,Standard,180+2,C41,Normal,1. e4 e5 2. Nf3 d6 3. Bc4 Be7 4. d3 h6 5. Nc3 f5 6. Nd5 fxe4 7. dxe4 Nf6 8. Nxe7 Qxe7 9. Qe2 Nc6 10. O-O Be6 11. Bb3 O-O-O 12. Bxe6+ Qxe6 13. a4 a6 14. Bd2 g5 15. b4 g4 16. Nh4 Qe7 17. Nf5 Qh7 18. b5 axb5 19. axb5 Nd4 20. Nxd4 exd4 21. e5 dxe5 22. Qxe5 Ne4 23. Bf4 h5 24. b6 cxb6 25. Qe6+ Rd7 26. Ra8# 1-0,no title,no title,win,1733,1730,2020,12,31,3,2020-12-31 13:35:44,26
https://lichess.org/qvhei4aH,Rated Blitz game,2020-12-31 00:00:00,Dzambo1977,Lovelishkumar,Black won,1732,1727,-6,6,Standard,180+2,C20,Time forfeit,1. e4 e5 2. d3 Nf6 3. Be3 c6 4. Nc3 d5 5. exd5 cxd5 6. Bg5 Be7 7. Qd2 Nc6 8. O-O-O d4 9. Nce2 h6 10. Bh4 Bb4 11. c3 dxc3 12. Nxc3 Be6 13. Nf3 Rc8 0-1,no title,no title,win,1727,1732,2020,12,31,3,2020-12-31 13:29:52,13
